Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
8100-1,Exo-Force,Golden City,2007,Cyclone Defender,1,92,4.99,7.99,,,5.70201E+12,6.73419E+11,14.4,19.2,4.8,0.13,49.94,12.67,,
8183-1,Racers,Remote Control,2009,Track Turbo RC,,92,24.99,39.99,49.99,,5.70201E+12,6.73419E+11,35.41,19.1,7.01,0.49,126.21,34.49,1/1/2009,31/12/2010
70646-1,Ninjago,Dragon Masters,2018,Jay - Dragon Master,1,92,12.99,14.99,17.99,14.99,5.70202E+12,,29.8,25.2,6.7,,12.73,,1/6/2018,31/12/2018
70648-1,Ninjago,Dragon Masters,2018,Zane - Dragon Master,1,92,12.99,14.99,17.99,14.99,5.70202E+12,,29.8,25.2,6.7,,14.36,3.4,1/6/2018,31/12/2018
75031-1,Star Wars,Microfighters,2014,TIE Interceptor Microfighter,1,92,8.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,14.097,12.192,4.5974,0.1,18.44,8.74,1/1/2014,31/07/2015
21164-1,Minecraft,Minifig-scale,2021,The Coral Reef,2,92,8.99,9.99,13.99,9.99,5.70202E+12,,14.1,12.2,6.1,,9.76,5.58,1/1/2021,31/12/2023
10765-1,Juniors,Disney Princess,2018,Ariel's Underwater Concert,1,92,12.99,14.99,18.99,14.99,5.70202E+12,6.73419E+11,19.1,14.1,4.6,,22.06,8,1/6/2018,31/12/2018
60127-1,City,Prison Island,2016,Prison Island Starter Set,4,92,8.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,15.6972,14.097,6.096,0.15436,13.42,5.17,,
2008-1,Miscellaneous,Employee gift,2008,Heart,,92,,,,,,,,,,,164.02,,,
3243-1,Scala,Dolls,1997,Kitchen,2,92,,26.5,,,,,,,,,190,80.75,,
75529-1,Star Wars,Buildable Figures,2017,Elite Praetorian Guard,,92,19.99,24.99,29.99,24.99,5.70202E+12,6.73419E+11,14.097,26.2128,6.096,0.2449397,32.86,19.28,1/9/2017,31/07/2018
71229-1,Dimensions,Team Pack,2016,DC Comics Team Pack,2,92,29.99,24.99,24.99,24.99,,,21.5,21,4.9,,23.55,18.34,19/01/2016,31/12/2017
60088-1,City,Fire,2015,Fire Starter Set,4,92,8.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,15.6972,14.097,4.4958,0.13,11.81,10.33,1/1/2015,31/12/2015
6336801-1,Promotional,LEGO brand stores,2020,Bumper Cars,,92,,,,,,,,,,,,,,
41425-1,Friends,Science,2020,Olivia's Flower Garden,2,92,8.99,9.99,13.99,9.99,5.70202E+12,6.73419E+11,14.1,12.2,4.6,0.11,7.51,9.75,1/6/2020,31/12/2021
75224-1,Star Wars,MicroFighters,2019,Sith Infiltrator Microfighter,1,92,8.99,9.99,13.99,9.99,5.70202E+12,6.73419E+11,14.1,12.2,4.6,0.1,16.31,12.3,1/1/2019,31/12/2019
60239-1,City,Sky Police,2019,Police Patrol Car,1,92,9.99,9.99,13.99,9.99,5.70202E+12,6.73419E+11,15.7,14.1,4.5,0.15,9.67,6.1,1/1/2019,31/12/2021
376-1,LEGOLAND,Vehicle,1971,Low loader with Excavator,,92,1.75,,,,,,,,,,,30.76,,
251-1,Building Set with People,,1974,Windmill with miller and wife,,92,1.85,,,,,,,,,,79.67,18.1,,
2266-1,Duplo,,1997,Extra Large Value Bucket,2,91,,20,,,,,,,,,,,,
10942-1,Duplo,Minnie,2021,Minnie's House and Cafe,2,91,44.99,49.99,69.99,49.99,5.70202E+12,6.73419E+11,35.4,37.8,9.4,,40.48,,1/8/2021,31/12/2022
